idsku,Referencia,idColor,Talla,idMarca,idTipoPrenda
147838	010101	000	UNICA	1	3
110934	010102	000	UNICA	1	21
110935	010103	000	UNICA	1	14
110937	010104	000	UNICA	1	4
110938	010105	000	UNICA	5	6
110939	010106	000	UNICA	3	7
110940	010107	000	UNICA	4	6
110941	010108	000	UNICA	4	12
110942	010109	000	UNICA	6	16
147860	010110	000	32	6	7
147861	010110	000	34	6	7
147862	010110	000	36	6	7
147863	010110	000	38	6	7
147864	010110	000	L	6	7
147865	010110	000	M	6	7
147866	010110	000	S	6	7
147867	010110	000	UNICA	6	7
147868	010110	000	XL	6	7
147869	010110	000	XS	6	7
147870	010110	000	XXL	6	7
110943	010111	000	UNICA	6	14
110944	010112	000	UNICA	10	19
110945	010113	000	UNICA	10	13
110946	010114	000	UNICA	9	13
110947	010115	000	UNICA	8	31
110948	010116	000	UNICA	10	10
110949	010117	000	UNICA	9	11
147871	010118	000	L	8	18
147872	010118	000	M	8	18
147873	010118	000	S	8	18
147874	010118	000	UNICA	8	18
147875	010118	000	XL	8	18
147876	010118	000	XS	8	18
147877	010118	000	XXL	8	18
110950	010119	000	UNICA	8	19
110951	010120	000	UNICA	8	18
110952	010121	000	UNICA	9	17
110953	010122	000	UNICA	8	17
110954	010123	000	UNICA	8	7
110955	010124	000	UNICA	9	11
110956	010125	000	UNICA	8	11
147878	010126	000	0/6	8	9
147879	010126	000	12/18	8	9
147880	010126	000	18/24	8	9
147881	010126	000	24/36	8	9
147882	010126	000	6/12	8	9
147883	010126	000	UNICA	8	9
110957	010127	000	UNICA	8	31
147884	010128	000	28	8	10
147885	010128	000	30	8	10
147886	010128	000	32	8	10
147887	010128	000	34	8	10
147888	010128	000	36	8	10
147889	010128	000	38	8	10
147890	010128	000	40	8	10
147891	010128	000	42	8	10
147892	010128	000	UNICA	8	10
110958	010129	000	UNICA	5	12
110959	010130	000	UNICA	9	17
110960	010131	000	UNICA	5	12
110961	010132	000	UNICA	8	29
110962	010133	000	UNICA	9	11
110963	010134	000	UNICA	6	21
110964	010135	000	UNICA	6	14
111002	03049	050	32	6	42
111003	03049	050	34	6	42
111004	03049	050	36	6	42
111005	03049	050	38	6	42
111006	03049	555	32	6	42
111007	03049	555	34	6	42
111008	03049	555	36	6	42
111009	03049	555	38	6	42
127786	10028	027	04	3	7
127787	10028	027	06	3	7
127788	10028	027	08	3	7
127789	10028	027	10	3	7
127790	10028	027	12	3	7
127791	10028	027	14	3	7
127792	10028	031	04	3	7
127793	10028	031	06	3	7
127794	10028	031	08	3	7
127795	10028	031	10	3	7
127796	10028	031	12	3	7
127797	10028	031	14	3	7
127798	10030	025	04	3	22
127799	10030	025	06	3	22
127800	10030	025	08	3	22
127801	10030	025	10	3	22
127802	10030	025	12	3	22
127803	10030	025	14	3	22
127804	10030	150	04	3	22
127805	10030	150	06	3	22
127806	10030	150	08	3	22
127807	10030	150	10	3	22
127808	10030	150	12	3	22
127809	10030	150	14	3	22
127810	10030	175	04	3	22
127811	10030	175	06	3	22
127812	10030	175	08	3	22
127813	10030	175	10	3	22
127814	10030	175	12	3	22
127815	10030	175	14	3	22
159214	10032	025	04	3	7
159215	10032	025	06	3	7
159216	10032	025	08	3	7
159217	10032	025	10	3	7
159218	10032	025	12	3	7
159219	10032	025	14	3	7
159220	10032	150	04	3	7
159221	10032	150	06	3	7
159222	10032	150	08	3	7
159223	10032	150	10	3	7
159224	10032	150	12	3	7
159225	10032	150	14	3	7
159226	10032	177	04	3	7
159227	10032	177	06	3	7
159228	10032	177	08	3	7
159229	10032	177	10	3	7
159230	10032	177	12	3	7
159231	10032	177	14	3	7
159232	10032	253	04	3	7
