idSucursal,idSucursalUNOEE,CodigoSucursal,idListaPrecio
4650	12193	000	01 
9120	12656	000	01 
9220	13074	000	01 
2740	12036	000	01 
11969	12036	001	01 
4110	12052	000	01 
10605	13893	000	01 
10604	13894	000	01 
4797	12205	000	171
9829	12205	999	171
7776	12038	000	01 
3929	12128	000	01 
10879	16062	000	01 
5298	12044	002	01 
2550	11598	000	01 
2452	11484	000	01 
11446	17060	000	01 
2326	13365	000	01 
9564	12897	000	01 
9457	12847	000	01 
10945	16070	000	01 
7563	11435	000	01 
11734	17925	000	01 
7293	12076	000	01 
10717	15274	000	01 
10710	15405	000	01 
10687	15367	000	01 
4226	12047	000	01 
819	11440	000	01 
5977	11440	001	01 
5978	11440	002	01 
5979	11440	003	01 
5980	11440	004	01 
5981	11440	005	01 
5982	11440	006	01 
5983	11440	007	01 
5985	11440	009	01 
5986	11440	010	01 
5987	11440	011	01 
5988	11440	012	01 
5989	11440	013	01 
5990	11440	014	01 
5992	11440	016	01 
5993	11440	017	01 
5994	11440	018	01 
5995	11440	019	01 
5997	11440	021	01 
5998	11440	022	01 
5999	11440	023	01 
6000	11440	024	01 
6001	11440	025	01 
6002	11440	026	01 
6003	11440	027	01 
6004	11440	028	01 
6006	11440	030	01 
6007	11440	031	01 
6008	11440	032	01 
6009	11440	033	01 
6010	11440	034	01 
6011	11440	035	01 
6012	11440	036	01 
6013	11440	037	01 
6014	11440	038	01 
6015	11440	039	01 
6016	11440	040	01 
6017	11440	041	01 
6018	11440	042	01 
6019	11440	043	01 
6020	11440	044	01 
6021	11440	045	01 
6022	11440	046	01 
6023	11440	047	01 
6024	11440	048	01 
6025	11440	049	01 
6026	11440	050	01 
6027	11440	051	01 
6028	11440	052	01 
6029	11440	053	01 
6030	11440	054	01 
6031	11440	055	01 
6036	11440	060	01 
6037	11440	061	01 
6038	11440	062	01 
6039	11440	063	01 
6040	11440	064	01 
6041	11440	065	01 
6042	11440	066	01 
6043	11440	067	01 
6044	11440	068	01 
6045	11440	069	01 
6048	11440	072	01 
6049	11440	073	01 
6050	11440	074	01 
6051	11440	075	01 
6052	11440	076	01 
6053	11440	077	01 
6054	11440	078	01 
6056	11440	080	01 
6057	11440	081	01 
6058	11440	082	01 
6059	11440	083	01 
6060	11440	084	01 
6061	11440	085	01 
6064	11440	088	01 
6065	11440	089	01 
6066	11440	090	01 
6067	11440	091	01 
6069	11440	093	01 
6070	11440	094	01 
6071	11440	095	01 
6072	11440	096	01 
6073	11440	097	01 
6074	11440	098	01 
6076	11440	0A1	01 
